1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
391	-0.650690	242.560980	0.005673	8.4
392	-1.811418	242.265654	0.014114	9.7
393	-0.000000	241.971285	0.000000	8.6
394	-1.412116	241.677868	0.013762	9.9
395	-0.073448	241.385397	0.002587	9.4
396	-0.853658	241.093869	0.008633	8.3
397	-0.000000	240.803278	0.000000	10.0
398	-1.577881	240.513619	0.037897	9.2
399	-0.000000	240.224887	0.000000	9.1
400	-0.699224	239.937077	0.007719	9.7
401	-0.639875	239.650186	0.008655	9.4
402	-0.000235	239.364207	0.000044	8.9
403	-0.011011	239.079136	0.000671	6.9
404	-0.990886	238.794969	0.013793	9.3
405	-1.282938	238.511701	0.019767	9.9
406	-0.654020	238.229327	0.014684	11.5
407	-0.000000	237.947843	0.000000	9.2
408	-0.036550	237.667244	0.001322	10.2
409	-1.652672	237.387526	0.029220	8.3
410	-1.720145	237.108684	0.012138	9.3
411	-0.000000	236.830714	0.000000	9.2
412	-0.254035	236.553610	0.006611	8.0
413	-1.447863	236.277370	0.013755	9.3
414	-1.018154	236.001989	0.011513	8.7
415	-0.324087	235.727461	0.007802	19.2
416	-0.736007	235.453784	0.006536	9.2
417	-0.738655	235.180952	0.011353	8.6
418	-1.125816	234.908962	0.010239	8.5
419	-1.383652	234.637809	0.026504	11.6
420	-1.663467	234.367488	0.008956	9.9
421	-0.934277	234.097997	0.020119	9.6
422	-0.554191	233.829331	0.006076	10.0
423	-0.214457	233.561485	0.004017	10.5
424	-0.000000	233.294456	0.000000	8.8
425	-0.800690	233.028239	0.008513	11.2
426	-1.235907	232.762831	0.037377	9.2
427	-0.000000	232.498228	0.000000	9.7
428	-1.122465	232.234425	0.021723	10.4
429	-1.283521	231.971419	0.029011	10.1
430	-0.260281	231.709205	0.008584	9.4
431	-1.054734	231.447781	0.013902	10.7
432	-1.701494	231.187141	0.011904	9.0
433	-0.403138	230.927283	0.005562	10.0
434	-0.028968	230.668202	0.002434	9.6
435	-0.000000	230.409895	0.000000	9.9
436	-0.272098	230.152358	0.005455	10.8
437	-1.642990	229.895587	0.031201	11.5
438	-1.779000	229.639578	0.017963	9.4
439	-0.016746	229.384329	0.001274	10.3
440	-0.000053	229.129834	0.000012	10.8
441	-1.734256	228.876091	0.015686	10.0
442	-0.000000	228.623096	0.000000	9.9
443	-1.437325	228.370846	0.017951	10.7
444	-0.143972	228.119336	0.005438	8.4
445	-0.000000	227.868563	0.000000	9.4
446	-1.510428	227.618525	0.012278	9.4
447	-0.108602	227.369216	0.002765	8.4
448	-1.052305	227.120635	0.014289	9.6
449	-0.971510	226.872777	0.009623	8.3
450	-0.010275	226.625638	0.000961	9.4
451	-0.912516	226.379217	0.006575	9.3
452	-1.471501	226.133509	0.011694	9.9
453	0.000000	225.888510	0.000000	9.7
454	-0.202172	225.644218	0.003897	9.9
455	-0.000000	225.400630	0.000000	14.7
456	-0.748860	225.157741	0.012261	11.7
457	-1.392449	224.915549	0.007346	10.2
458	-0.003414	224.674051	0.000456	10.2
459	-1.115945	224.433242	0.025941	10.7
460	-0.226941	224.193121	0.004007	9.7
461	-0.000000	223.953684	0.000000	9.2
462	-0.295841	223.714927	0.005412	9.7
463	-0.661763	223.476848	0.018371	10.5
464	-0.822429	223.239444	0.008597	8.5
465	-0.633000	223.002710	0.029850	12.3
466	-1.751911	222.766645	0.032068	8.8
467	-1.177699	222.531245	0.008403	9.3
468	-1.209901	222.296508	0.010659	8.2
469	-0.458525	222.062429	0.008204	17.2
470	-0.868437	221.829007	0.007638	9.0
471	-1.870367	221.596238	0.023272	9.1
472	-0.130450	221.364119	0.005058	9.9
473	-0.855668	221.132647	0.012140	9.2
474	-1.792197	220.901820	0.026297	8.2
